Year	Rating	Conference	Title	Author Names
2013	8.5	Action	"20 Dakika"	Aksum, Ilker;Aybar, Enis;Esen, Mehmet;Nalci, �zg�r Ege;Pros�iler, Murat;Tamer, Cihat;Yarar, B�lent Emin;Y�r�k, Burak;�akir, Ushan;�ekmez, Metin;�elik, Firat
2008	9.1	Drama	"2009: A True Story"	Adams, Skylar T.;Baer, Dotan;Boone, Bryan;de Leonardis, John Paul;Harnish, Cody;Murphy, Scott Bradley;Parker, Robert T.;Riordan, Tom (I);Sigloch, Matt;Wells, Ron (II)
2013	8.6	Action	"24"	Bakshi, Gaurav;Bhatt, Adhir;Bhattacharya, Dibyendu;Bhoopalam, Neil;Chanana, Raaghav;Deo, Ajinkya;Gadekar, Jayant;Jeetendra (I);Jora, Priyanshu;Kadam, Kishore;Kanwarpal, Bikramjeet;Kapoor, Anil (IV);Kapoor, Rishi (I);Kaul, Rajat;Khan, Nissar;Khanna, Adish;Khanna, Rahul (I);Kher, Anupam;Pradhan, Shahnawaz;Saini, Gurpreet;Siddhartha, Rajeev;Singh, Rahul (I);Srinivas, Kiran (I);Subramaniam, Shivkumar;Suri, Yuri;Ved, Sundip;Vikal, Ankur
2006	8.8	Comedy	"3 Minute Wonder"	Abe, Tadashi (II);Ayrton, Henry;Bolle, Roberto;Bouchier, John;Bylett, Chris;Coleman, Henry (I);Culshaw, Jon;David, Enrico;Dumas, Paul (II);Faulks, Sebastian;Fletcher, Jacob;Fordesman, Ben;Frazer, Rupert;Gennis, Daniel Jude;Halil, Erkan;Harlan, Jan;Hill, Harry (III);Hiorns, Roger;Hound, Rufus;Jaime, Matt (I);Kaye, Tony (I);Khorooshi, Farokh;King, Joan (III);King, Neville (I);Larder, Kevin;Mason, Tom (VII);McIntyre, Michael (II);Palmer, Davies;Pilkington, Karl;Rao, Anil (I);Reedy, Tim;Saito, Koryo;Spikey, Dave;Thomson, John (I);Warwick, Kevin;Way, Ben;Wohead, Greg;Wright, Richard (XXIX);Wrigley, Bernard
2014	8.5	Comedy	"3 Rooms"	Abbasov, Samir;Aga, Hasan;Ata, Orkhan;Hasanov, Emin;Havsteen Eriksen, Gunnar Napier;Heydarow, Azad;Kamilov, Natiq;Khalil, Emin;M., Rash;Zeynalli, Orkhan
2006	8.6	Drama	"3 lbs."	Arciniega, Max;Behlmann, John;Braun, Steve (II);Brown, David (II);Brown, David (XXX);Bruening, Justin;Bury, Karl;Carlos, Jordan;Changchien, Louis Ozawa;Charan, Jay;Colletti, Bob;Dos Santos, Marivaldo;Dunne, Griffin;Eisenberg, Ned (I);Farmer, Cyrus;Feuerstein, Mark (I);Funk, Joshua (I);Funny, Dennis Jay;Gavriel, Bashir;Gilpin, Jack;Gwiazdowski, Jerzy;Hammer, Mark (I);Jefferies, Marc John;Kalidi, Sam;Levine, Joshua (I);McCaffrey, James (I);McDermott, Dylan;McMillon, Derrick L.;Nakahara, Ron;O'Neill, Michael (I);Offerman, Nick (I);Perez-Campbell, Joaquin;Redleaf, Jeremy;Riesco, Armando;Smaltz, Mark Kenneth;Stein, Adam (I);Stephenson, Don;Sullivan, Tyson;Thomas, Carlos (I);Tucci, Stanley (I);Veach, Joel (I);Walker, Benjamin (I);Weir, Malachi;Wharton, Ken
2007	8.5	Family	"3-Minute Game Show"	Baesa, Dennis;Barba, Cole;Blanco, Oscar (I);Bromberg, Hayden;Casa, Patrick;Chalfa, Daniel;Chandra, Austin;Doryon, Lorenzo;Doss, Kurt;Duty, Kenton;Earles, Jason;Fan, Christian;Gore, David (I);Green, Cooper (I);Heinke, Ryan;Henrie, David (I);Holden, Alec;Johnston, Drake;Klop, Cody;Klop, Cohl Kenneth;Kohanek, Tyler;Kurd-Misto, Eyad;Lant, Sam;Lewis-Hollins, Dallas;Luthman, Joey;Masuda, Garrett;McCullers II, Carlos;Miyata, Kelii;Nervies, Nick;Noel, A.J.;Palatas, Cameron;Palmer, Garrett (I);Pinto, Philip D.;Russell, Brandon Tyler;Salazar, Dagger;Sanders, Kendall Ryan;Turner, Adrian Kali;Vandal, Christian
2003	8.3	Comedy	"31 minutos"	Castro, Daniel (III);D�az, Alvaro;D�az, Patricio (I);Godoy, Felipe;Peirano, Pedro;Salinas, Rodrigo;Schultz, Pancho;Sol�s, Fernando (I);Velozo, H�ctor
2008	8.9	Comedy	"3Way"	Bishop, Collin;Carlin, Shaun (II);Garant, Robert Ben;Gotay, Will;Guinness, Mr.;Hendrix, Joe (I);Holroyd, Scott;Keating, John M.;Kreinbrink, Justin;Moran, Rob (I);Soldwisch, Jonathan;Wilderson, Wayne;Wright, G. Charles
2010	8.3	Comedy	"40 y tantos"	Arrigorriaga, Sebasti�n;Bodenh�fer, Basti�n;Brown, Nicol�s;Caillet, C�sar;C�ceres, Juan Carlos (III);Melo, Francisco (I);Oviedo, Mat�as;Pinochet, Ren�;P�rez, Nicol�s (II);P�rez-Bannen, Francisco;Remedy, Remigio;Riquelme, Cristi�n;Velasco, Andr�s (IV);Velasco, Jorge (IV);V�squez, Hugo (III)
2012	9.0	Comedy	"4Funnies"	Burgers, Phil;Cardinal, Seb;Chambers, Dave (IV);Earl, David (VI);Evans, Roger (II);Hayward, Chris (III);Li, Dan (II);McCarthy, Matthew David;McGlynn, Bob;Quinn, Bryan (IV)
2009	8.4	Family	"5 Ingredient Fix"	Flay, Bobby;Gerhard, Keegan
2004	8.3	Drama	"55 Degrees North"	Allan, Mark (VI);Anderton, Stephen;Antony-Barber, Paul;Arthur, Rod;Baker, Don (III);Barclay, Jim;Bates, Andy (I);Benjamin, Philip (II);Bleasdale, Gary;Bradshaw, Ben (I);Bruce, Tim (I);Burke, Jaeden;Burns, Baden;Butcher, Joseph (II);Byrne, Antony (I);Cameron, Mark (II);Cernik, Jordy;Charlton, Peter (II);Clayton, Paul (I);Cleverdon, Scott;Collins, Karl (I);Cornwell, Phil;Court, Nick (I);Cuckson, Michael (I);Dantay, Tim;Darweish, Kammy;Dosanjh, Kriss;Dunn, Andrew (II);Eastham, Derrick;Elliot, Mike (I);Ellis, Alexander;Ellwood, Robin;Erskine, Danny;Fawell, Steven;Fellows, Bill;Gallagher, Harry;Gilet, Don;Gordon, Alan (V);Hamilton, Paul (III);Harding, John (II);Harris, George (II);Heaney, Craig;Hind, Vito;Hodgson, Michael (I);Horwell, Robert;Jones, Mark Lewis;Judge, Oliver;Kenna, Jamie;Kirkby, Ian;Kitching, Gary;Levitt, John (I);Lilburn, Gary;Mars, Ben (II);Martin, Roger (I);McBride, Jack (I);McCaul, Neil;McCraw, John (I);McGlade, Martin;McLaughlin, Ian (I);Messios, Kyl;Middlemarch, James;Morfitt, Darren;Nathan, Ben;Neilson, Tony (I);Nellist, David;Newman, Daniel (I);Peck, Ian;Prendergast, Shaun;Protheroe, Brian;Raggett, Nick;Rayani, Amit;Raynor, David (II);Riach, Ralph;Roberts, Smug;Rodska, Christian;Rolston, David;Stobbart, Mark;Sutton, Matt (I);Swift, Jeremy;Swift, Shane;Symonds, Peter (I);Tarkenter, David;Tembey, Christopher;Turnbull, Rob;Varrez, Ash;Walmsley, Deka;Ward, Jason (V);Wardle, Michael;Webb, Robert (XI);Williams, Sam (VII);Wilson, Phillippe;Wraith, Steve;Wynn, Matthew (III)
2004	8.4	Action	"5ive Days to Midnight"	Allen, Nick (II);Bacon, Daniel (I);Banbury, Blake;Bittante, Paul;Bollo, Lou;Brunetti, Laurie;Clark, Bruce (IV);Dallas, Keith;Esposito, Giancarlo (I);Gold, L. Harvey;Hutton, Timothy;Johnson, Brock (I);Kwok, Wilson;Linklater, Hamish;Macfadyen, Angus (I);McCaig, Brian;McIlwraith, David (I);Millar, Gardiner;Moore, Darren (I);Paetz, Gerald;Quaid, Randy;Simpson, Jason (II);Stewart, John (XXIV);Stewart, Rob (I);Takeuchi, Warren;Thompson, Ian (VII)
2008	8.3	Comedy	"5th Year"	Anderson, Blake (VI);DeVine, Adam;Holm, Anders (IV)
2009	8.5	Comedy	"7 Days"	Anderson, Wil;Barker, John (II);Batt, Tim;Bowen, Jaime;Bowen, Jamie (I);Bowen, Jeremy;Boyce, Ben;Brain, Chris;Braizer, Graeme;Bridges, Jon;Burnett, Karl;Byrne, Ed (I);Campbell, Craig (I);Carrick-Leslie, Clayton;Casey, Bryce (II);Clay, Andrew (I);Corbett, Jeremy;Corker, Jonny;Darby, Rhys;Edgar, Bruce (I);Ego, Paul;Elwood, Jeremy;Faustino, David;Fleet, Greg;Franklin, Heath (I);Furniss, Tom (I);Gilmour, Ewen;Gleeson, Tom (II);Goff, Phil;Gonzalez-Macuer, Cori;Green, Jeff (III);Griffin, Jesse (I);Gunn, Jason (II);Hart, Leigh;Helliar, Peter;Henderson, Te Rangi;Henwood, Dai;Hughes, Gareth (VIII);Hurley, Ben (I);Jimeoin;Kan, Raybon;Kightley, Oscar;King, Mike (III);King, Vaughan;Loder, Mike;Lovegrove, Brendhan;MacDonald, T.J.;Mathewson, Rhys;McElroy, Alan;McKay, Hamish;McManus, Rove;Montgomery, Guy (IV);Moore, Joseph (VI);Mulligan, Jesse;Pickering, Charlie;Pryor, Jono;Rado, Nick;Roque, James (II);Ross, Jamaine;Ross, Tim (II);Shadbolt, Tim;Thomas, Gareth (VIII);Thomson, Josh (II);Thornton, Dave;Watson, Mark (IX);Whitehead, J.J.;Williams, Guy (XII);Wool, Glenn;Wrigley, Steve (II)
2013	9.1	Drama	"7 Lives Xposed"	Brackett, David;Bryant, Colin (I);Campangna, Robert;David, Mike;Davis, Mike (XXI);Duncan, Steve (IX);Eftimoski, Jason;Gunther, Bill (III);Hansen, Danny (I);Kasper, Kent;Ketcham, Tony;La Touche, Richard;Lezama, Javier;Long, Andrew Espinoza;Printers, Casey;Ramirez, Wilson;Roberts, Ian (XXIII);Scott, J. (VII);Shaffrey, Mike;Sinclair, Kurt;Sowers, Christopher;Stennette, Gary Anthony (I);Tucker, Dan (IV);Ursino, Phil;Wilson, Jesse (V)
2000	8.8	Comedy	"7 Numara"	Alkan, Engin;Ert�rkler, Taner;Girgin, Volkan;Karkin, Engin;Sara�oglu, Ahmet;Sari, Ruhi;Selvi, Okan;Senol, Askin;Simsek, Olgun;Tunali, Cenk;�oban, Ali;�orumlu, �aglar
2000	8.5	Comedy	"70 m�n�tur"	Bl�ndal, Au�unn;J�i;Sigf�sson, P�tur J�hann;Simmi (I);Sverrisson, Sverrir ��r
2011	9.0	Comedy	"80's Dan"	Foiles, Jerrid;Gobble, David;Jones, Brad (VII);Lewis, Brian (XIV);Mitchelle, Ryan;Norvell, Jake;Roth, Steve (VII);Walker, Rob (XIX)
2011	8.3	Drama	"9ine"	Julien, Terrence;Kunstmann, Paul;Langham, Wallace;McDaniel, Jonathan 'Lil J';Moreno, Ken;Parke, Evan (I);Siew, Jonny (I);Sowelle, Esequiel Osaze;Starr, Jamie (I);White, Brian (XXXIV)
2012	8.4	Family	":Presentes"	Alonso G�mez, Diego;Andrade, Walter;Campomenosi, Daniel;Condito, Nicol�s;Emanero;Goldschmidt, Nicol�s;Lombardo, Javier;Marmorato, Mat�as;Serrano, Juli�n
2009	8.7	Comedy	"=3"	Chandler, Christian Weston;Iglesias, Gabriel (IV);Johnson, Ray William;Lee, Bobby (I);Miller, T.J.;Williams, Robin (I)
2012	8.8	Comedy	"@TheBar"	Brilhart, Sam;Capps, Merrill
